,Ticker,Hurst Exponent,t_statistic,p_value
107,CTAS,0.5784700532841788,3.082512463339527,0.0020526113487937536
108,CTRA,0.5024384130734794,0.09578735294787481,0.9236894620554108
109,CTSH,0.5549482928544739,2.158515133789216,0.030887803066987907
110,CVS,0.5554142062276419,2.1768174506542994,0.029494190492657335
111,CVX,0.5490717276051448,1.92766801613679,0.05389643280652212
112,D,0.5177871829048701,0.6987278674757406,0.48472211483467387
113,DAL,0.5446180136855118,1.7527142842245744,0.07965106257060639
114,DD,0.5462034230727733,1.8149933829532399,0.06952492637873497
115,DE,0.5394704280447554,1.5505034250541978,0.1210207320643768
116,DECK,0.5598850349537542,2.3524434976991286,0.018650523030182775
117,DFS,0.5549640425900442,2.1591338253047407,0.030839786123975976
118,DG,0.554364302988381,2.1355744581383913,0.032714115164286905
119,DGX,0.5446815923529555,1.7552118234334266,0.07922308225645192
120,DHI,0.5347052025820576,1.3633126909509166,0.17278398403129702
121,DHR,0.552033657189419,2.0440204904494355,0.04095152294057369
122,DIS,0.5706248420027354,2.774331691943814,0.005531524812250499
123,DLR,0.5364973683424089,1.4337137300918854,0.1516539724092527
124,DLTR,0.5570084715460508,2.2394444339197257,0.025127012966960738
125,DOC,0.5496230440236135,1.949325191836914,0.0512566019665921
126,DOV,0.5581990562491504,2.2862137686196164,0.022241755660338036
127,DPZ,0.5634751059263755,2.4934710369222977,0.012650090426599592
128,DRI,0.5465645487252692,1.8291793593615762,0.06737274348132116
129,DTE,0.5299165658368891,1.1752022993862448,0.23991379053886464
130,DUK,0.5251227526485626,0.9868885633623496,0.3236972714451509
131,DVA,0.5605311705625846,2.3778254234640346,0.017415068697405722
132,DVN,0.5629329881553641,2.4721752085673865,0.013429368062476188
133,DXCM,0.5742078367912989,2.9150812598309352,0.0035559594162295483
134,EA,0.5418918254778224,1.6456223583763996,0.09984153300800047
135,EBAY,0.5398793617609137,1.5665674293970073,0.11721583595531326
136,ECL,0.5379046336997702,1.488994857372152,0.1364887229417957
137,ED,0.5201840708285198,0.7928840020602417,0.42784540889657974
138,EFX,0.5817636068927489,3.211892011615444,0.0013186393134316798
139,EG,0.5310276501182095,1.218848646007007,0.22290164402550583
140,EIX,0.533305227871711,1.3083179596822228,0.1907654860390815
141,EL,0.5540849094257418,2.1245991356686447,0.03362007605626838
142,ELV,0.5484355171754188,1.9026759778131428,0.057082838353796905
143,EMN,0.5373700238944351,1.4679939618840252,0.14210586306574902
144,EMR,0.5443425065559975,1.7418916311878658,0.08152740862007013
145,ENPH,0.5613762164533259,2.411021074305132,0.01590792921473083
146,EOG,0.5489364800853318,1.9223551337311997,0.05456108696343187
147,EPAM,0.5673591759206671,2.64604763990392,0.008143834636942016
148,EQIX,0.5365463134255108,1.4356364231749974,0.15110582477716084
149,EQR,0.5246952918382989,0.9700967654715653,0.33199826112807185
150,EQT,0.524482428694363,0.9617349348533076,0.33618276904285493
151,ERIE,0.5373919902654012,1.4688568593773155,0.14187161796776682
152,ES,0.5164665295293535,0.6468490892743454,0.5177296180619686
153,ESS,0.5236721988273705,0.9299069500534304,0.35241926421715
154,ETN,0.5584084136227254,2.2944378832509615,0.0217653592302951
155,ETR,0.5296570526141475,1.165007929559514,0.2440157831012557
156,EVRG,0.532699002875968,1.2845038289819664,0.1989657246991019
157,EW,0.5697292069635077,2.7391487647572497,0.00615984938266112
158,EXC,0.5327525991320154,1.2866092325128666,0.19823052408971775
159,EXPD,0.5201399110209789,0.7911492873324389,0.4288568805933082
160,EXPE,0.5563765055207562,2.2146191270944215,0.026786218039660747
161,EXR,0.5504565055241118,1.9820657770088859,0.047471879235979175
162,F,0.5580300114436897,2.279573238915775,0.02263301163981457
163,FANG,0.5209702512860092,0.823767262071147,0.4100718126573204
164,FAST,0.5241838274069051,0.9500050818503409,0.3421096704429911
165,FCX,0.5629293403035791,2.472031911244128,0.013434752335502065
166,FDS,0.5382397394196584,1.5021587016013773,0.13305612763879937
167,FDX,0.5716921715303542,2.8162592354292286,0.004858644469531548
168,FE,0.5293940684900845,1.1546772134945094,0.24822263410147793
169,FFIV,0.5486455533608369,1.9109267579796696,0.05601399385513539
170,FI,0.5469690613569038,1.845069691741961,0.06502740139311536
171,FICO,0.5604774935091726,2.375716845997692,0.017514897606105473
172,FIS,0.5570465321035043,2.2409395538769803,0.025029990685447423
173,FITB,0.549943485032602,1.9619129672063929,0.04977261785721687
174,FMC,0.5603885244978891,2.372221906531559,0.017681467839277598
175,FRT,0.5202726645477569,0.7963641990563227,0.4258203806872154
176,FSLR,0.5606101152405794,2.3809265804487487,0.01726915344683322
177,FTNT,0.5614462558973143,2.413772410005617,0.015788320832003766
178,GD,0.5547648688904891,2.151309752482662,0.031451759013880976
179,GE,0.5748702971070389,2.941104463515287,0.0032704422074465445
180,GEN,0.5653646597762961,2.567697739323503,0.010237638092086332
181,GILD,0.5348400748515874,1.3686108325270265,0.17112095608331224
182,GIS,0.5395877026839253,1.5551102848911045,0.11991980590083151
183,GL,0.5388448080166748,1.5259274058830445,0.1270279445593614
184,GLW,0.5594344399569245,2.334742927411306,0.01955685428007059
185,GM,0.5494798797648571,1.9437013188630663,0.0519314795002741
186,GNRC,0.573737222833172,2.896594291482713,0.0037723725866793956
187,GOOG,0.5609528652782725,2.394390713819131,0.016648003887768992
188,GOOGL,0.5583592267396232,2.292505691620529,0.021876479495777756
189,GPC,0.5466346472579579,1.8319330162234133,0.06696140086358415
190,GPN,0.5622776080001392,2.4464301324248994,0.014427875809388091
191,GRMN,0.5719346223697743,2.825783349444457,0.004716515261672605
192,GS,0.5534022924966296,2.0977841265841644,0.03592421935560841
193,GWW,0.5432485397407949,1.6989177041773984,0.08933469072106481
194,HAL,0.5706940366342218,2.7770498411615856,0.0054854766622312034
195,HAS,0.5522132987835332,2.051077290204443,0.04025942050181319
196,HBAN,0.5295551311893922,1.1610041848321881,0.24564019760151057
197,HCA,0.5670830843037185,2.635202026645756,0.008408721852880996
198,HD,0.5694018321950691,2.726288612869239,0.006405096491124862
199,HES,0.5562678607295516,2.2103512706453836,0.027080792911196028
200,HIG,0.546250439712311,1.8168403216425084,0.06924156678180537
201,HII,0.5649469400596872,2.55128859750775,0.010732541283241526
202,HOLX,0.5309561747030498,1.2160409015384983,0.22396934145846004
203,HON,0.5530141427129704,2.0825365704057712,0.03729348610670846
