,Ticker,Hurst Exponent,t_statistic,p_value
50,BAX,0.6013878664736806,3.982785138487178,6.81123296617514e-05
51,BBY,0.606275096306002,4.174768528823078,2.9828918778562752e-05
52,BDX,0.6363505694282104,5.356213129151042,8.49842571870596e-08
53,BEN,0.47582266858092914,-0.9497499021655751,0.34223934695307756
54,BG,0.5127424612324648,0.5005577786527763,0.6166823831866988
55,BIIB,0.5407487206091426,1.6007181578930774,0.10943935756389456
56,BK,0.5727978720420142,2.859694093254154,0.004240498369271872
57,BKNG,0.5941487376123251,3.6984128970406664,0.00021695177311165104
58,BKR,0.48208854887742647,-0.703609453683927,0.4816760223794194
59,BLDR,0.6367139970741414,5.370489533985984,7.852319083845316e-08
60,BLK,0.6082690586548545,4.253096674842152,2.108345008111634e-05
61,BMY,0.5500096485408573,1.9645120458393148,0.04947074073120028
62,BR,0.6887032823283717,7.412766976769245,1.2367884494324244e-13
63,BRO,0.6470491999429508,5.776483799580179,7.627784404107274e-09
64,BSX,0.66412295010531,6.447186130835363,1.1394574173095862e-10
65,BWA,0.4861033874854142,-0.5458959116451562,0.5851374888302672
66,BX,0.6259685846273095,4.948381144800511,7.483326343038499e-07
67,BXP,0.47126163579620695,-1.1289194046213742,0.25893183416817633
68,C,0.5445851965863597,1.7514251412596722,0.07987270547761027
69,CAG,0.5546375493897155,2.1463083037575097,0.03184838954388147
70,CAH,0.5589584284205374,2.316043927828716,0.020555870348871297
71,CAT,0.5693295174742901,2.7234478982430224,0.006460440489952868
72,CB,0.6102180951280383,4.329660012939231,1.4933972473096802e-05
73,CBOE,0.6765774450256337,6.9364318266100735,4.021227795192317e-12
74,CBRE,0.5794821617178144,3.1222707753370282,0.0017946179697245768
75,CCI,0.6104661821718533,4.33940553205827,1.4286866533375076e-05
76,CCL,0.5012387188341376,0.04866017142838471,0.9611901168483177
77,CDNS,0.6612694844242104,6.335094407208683,2.3719604058669574e-10
78,CE,0.5824004351445776,3.236908319635011,0.0012083222458891818
79,CF,0.5441523608629458,1.7344222024803386,0.08284319846804866
80,CHD,0.6377045340517399,5.409400461799277,6.323608547909032e-08
81,CHRW,0.5313260649803266,1.2305711757265994,0.21848329132670208
82,CHTR,0.6469308940685485,5.7718364300797305,7.841221449922386e-09
83,CI,0.6379801177028228,5.420226120806788,5.95236981926206e-08
84,CINF,0.6341124384345335,5.268293389150219,1.3769790774276203e-07
85,CL,0.545093564542575,1.771395187097679,0.07649500838526846
86,CLX,0.6124092492494152,4.415734376413685,1.006676389736505e-05
87,CMCSA,0.6207501446566035,4.743386939041079,2.101742669458062e-06
88,CME,0.6651114289163792,6.486016208391616,8.813572094368283e-11
89,CMG,0.5702360030658733,2.7590570639941103,0.005796841158720589
90,CMI,0.5593875555041615,2.3329011813702336,0.01965333236863609
91,CMS,0.6213030198269515,4.765105346662094,1.8875500458204186e-06
92,CNC,0.6303993008803735,5.122431467184381,3.016207361650203e-07
93,CNP,0.5613882745889783,2.411494749954346,0.015887280581371677
94,COF,0.5543607142653524,2.135433483549994,0.03272561807024621
95,COO,0.6144624125003451,4.496388091370929,6.9117530738793675e-06
96,COP,0.5485629998317283,1.9076838357218209,0.05643209215917144
97,COR,0.6137193657602781,4.467199238538048,7.925031481947897e-06
98,COST,0.6692037823213983,6.646774737886648,2.995848014109015e-11
99,CPAY,0.6374410358206073,5.399049550240791,6.699487031802676e-08
100,CPB,0.5448176213320797,1.7605554036398392,0.07831368239169922
101,CPRT,0.668491607712826,6.618798624514482,3.621303257261843e-11
102,CPT,0.5689748808519205,2.709516828202176,0.0067381286885612734
103,CRL,0.6296650873817953,5.0935896075781,3.5134687270677034e-07
104,CRM,0.6264018476049766,4.965400867263623,6.85593069205126e-07
105,CSCO,0.6026637013182918,4.032903325554472,5.509194788921867e-05
106,CSGP,0.6645283208834926,6.4631101734952585,1.0257261706669851e-10
107,CSX,0.612451373242393,4.417389118929142,9.990028899675707e-06
108,CTAS,0.7208817616828993,8.676823256971158,0.0
109,CTRA,0.5142211953841498,0.558646390317499,0.5764030732029064
110,CTSH,0.5555697317837437,2.1829269082752254,0.02904119308536468
111,CVS,0.5691789313706945,2.717532475458002,0.006577070055119094
112,CVX,0.5397036088807549,1.559663388672129,0.11883944824510495
113,D,0.5521734975379031,2.049513791384494,0.040411900662468137
114,DAL,0.5940907627668014,3.6961354908658564,0.0002189061776918244
115,DD,0.5427598686023528,1.679721401745095,0.0930115337549271
116,DE,0.5928216775485176,3.646282447078149,0.00026606152774300007
117,DECK,0.610982498772191,4.359687821784852,1.3024812013817666e-05
118,DFS,0.6023873328618123,4.022046837303002,5.769458135418404e-05
119,DG,0.5977467874217421,3.8397538662009434,0.00012315772032600592
120,DGX,0.5604912477285697,2.3762571483288437,0.017489269735523116
121,DHI,0.6064538514234229,4.181790505415094,2.8922240297823976e-05
122,DHR,0.6368495519605483,5.375814490569133,7.623725517547086e-08
123,DIS,0.6163824308314925,4.571811519645771,4.835257741309107e-06
124,DLR,0.5682515000555172,2.6811005059578363,0.007338047293281358
125,DLTR,0.5494094445525494,1.9409344363300527,0.05226623040558609
126,DOC,0.44406727592976364,-2.1971862110331526,0.028007149982282042
127,DOV,0.5977982947219701,3.841777209989569,0.0001221466820524597
128,DPZ,0.6819992518893431,7.149414824986267,8.715250743307479e-13
